R,G,B,label,label_name
231,10,15,2,red
43,200,33,5,green
29,19,36,7,black
229,218,6,0,yellow
14,37,36,7,black
223,220,233,6,white
20,26,13,7,black
12,29,33,7,black
111,39,221,3,violet
231,17,37,2,red
204,18,25,2,red
120,1,195,3,violet
247,220,27,0,yellow
22,35,22,7,black
217,220,45,0,yellow
142,11,190,3,violet
2,165,55,5,green
27,181,14,5,green
40,190,47,5,green
255,111,0,1,orange
247,199,14,0,yellow
255,211,27,0,yellow
212,229,210,6,white
0,58,186,4,blue
44,164,33,5,green
24,56,186,4,blue
240,233,235,6,white
108,19,201,3,violet
230,26,21,2,red
218,112,3,1,orange
215,133,22,1,orange
220,227,244,6,white
214,232,220,6,white
2,37,222,4,blue
215,245,246,6,white
26,5,2,7,black
114,41,195,3,violet
30,16,14,7,black
11,171,43,5,green
231,95,16,1,orange
232,235,216,6,white
3,21,34,7,black
4,12,27,7,black
234,236,21,0,yellow
243,90,7,1,orange
4,33,8,7,black
112,38,210,3,violet
28,180,53,5,green
36,42,218,4,blue
193,11,0,2,red
16,62,194,4,blue
32,9,28,7,black
117,34,188,3,violet
209,13,0,2,red
33,22,16,7,black
8,45,194,4,blue
197,21,30,2,red
236,102,10,1,orange
211,9,18,2,red
218,209,0,0,yellow
235,39,7,2,red
36,43,195,4,blue
221,30,1,2,red
34,26,38,7,black
221,228,245,6,white
16,48,199,4,blue
241,111,13,1,orange
223,108,33,1,orange
185,0,0,2,red
224,13,38,2,red
213,235,241,6,white
241,219,241,6,white
124,21,196,3,violet
207,85,0,1,orange
244,102,33,1,orange
255,223,17,0,yellow
234,116,10,1,orange
134,0,179,3,violet
9,27,38,7,black
208,25,0,2,red
247,223,43,0,yellow
242,133,0,1,orange
28,25,38,7,black
28,45,189,4,blue
31,43,192,4,blue
25,157,52,5,green
210,117,3,1,orange
0,43,187,4,blue
201,40,0,2,red
14,15,8,7,black
3,199,35,5,green
14,158,18,5,green
240,212,27,0,yellow
255,97,35,1,orange
214,226,217,6,white
251,227,8,0,yellow
237,219,214,6,white
226,107,18,1,orange
222,0,38,2,red
40,64,211,4,blue
210,103,38,1,orange
32,21,26,7,black
233,249,223,6,white
20,16,21,7,black
0,39,197,4,blue
34,29,15,7,black
113,15,223,3,violet
0,79,188,4,blue
43,179,31,5,green
135,26,207,3,violet
235,237,2,0,yellow
245,243,210,6,white
17,35,17,7,black
45,204,22,5,green
126,30,190,3,violet
214,0,6,2,red
112,43,223,3,violet
218,38,6,2,red
35,12,31,7,black
0,155,51,5,green
0,175,27,5,green
15,79,220,4,blue
215,34,0,2,red
211,0,21,2,red
9,178,30,5,green
248,248,239,6,white
10,7,11,7,black
211,236,247,6,white
227,233,218,6,white
255,196,17,0,yellow
214,130,10,1,orange
14,38,208,4,blue
23,72,226,4,blue
237,85,0,1,orange
197,8,7,2,red
233,225,245,6,white
234,217,242,6,white
205,16,31,2,red
216,0,9,2,red
145,45,209,3,violet
22,180,36,5,green
248,241,210,6,white
0,179,18,5,green
36,81,226,4,blue
249,243,217,6,white
36,58,219,4,blue
251,93,20,1,orange
233,197,0,0,yellow
11,8,13,7,black
16,172,48,5,green
246,236,240,6,white
222,34,3,2,red
212,218,228,6,white
142,45,177,3,violet
238,218,231,6,white
33,59,200,4,blue
22,167,22,5,green
6,2,27,7,black
197,0,0,2,red
246,102,3,1,orange
4,15,29,7,black
6,175,44,5,green
13,170,55,5,green
149,38,209,3,violet
240,244,216,6,white
44,199,52,5,green
149,15,217,3,violet
27,33,31,7,black
34,43,212,4,blue
37,57,219,4,blue
27,172,38,5,green
229,218,226,6,white
145,37,190,3,violet
233,26,32,2,red
209,0,9,2,red
137,9,212,3,violet
6,167,54,5,green
229,229,10,0,yellow
34,31,18,7,black
122,33,191,3,violet
119,19,181,3,violet
210,6,29,2,red
207,0,0,2,red
5,11,7,7,black
245,247,244,6,white
14,179,17,5,green
231,123,0,1,orange
32,58,208,4,blue
241,243,210,6,white
135,36,184,3,violet
106,33,212,3,violet
8,200,17,5,green
18,60,188,4,blue
27,192,51,5,green
211,0,23,2,red
127,4,192,3,violet
252,127,37,1,orange
242,245,250,6,white
219,95,0,1,orange
21,184,34,5,green
147,25,185,3,violet
243,221,217,6,white
2,57,211,4,blue
242,221,24,0,yellow
215,221,26,0,yellow
234,230,233,6,white
28,49,213,4,blue
255,239,29,0,yellow
142,45,187,3,violet
244,236,29,0,yellow
217,19,25,2,red
219,89,22,1,orange
200,20,30,2,red
32,178,37,5,green
223,10,6,2,red
39,77,223,4,blue
40,165,41,5,green
45,158,25,5,green
132,38,223,3,violet
30,5,38,7,black
222,243,214,6,white
221,216,228,6,white
191,37,0,2,red
44,194,31,5,green
1,155,6,5,green
0,83,218,4,blue
30,38,27,7,black
42,198,55,5,green
30,2,19,7,black
242,87,34,1,orange
25,161,39,5,green
228,250,225,6,white
234,132,0,1,orange
20,47,190,4,blue
7,163,19,5,green
38,7,38,7,black
130,43,224,3,violet
249,205,0,0,yellow
222,224,2,0,yellow
20,167,19,5,green
227,211,233,6,white
234,235,22,0,yellow
9,200,42,5,green
0,41,212,4,blue
25,19,5,7,black
193,0,34,2,red
250,195,2,0,yellow
4,5,23,7,black
253,87,38,1,orange
242,197,0,0,yellow
210,221,239,6,white
255,110,22,1,orange
31,4,26,7,black
14,25,26,7,black
216,38,16,2,red
39,75,192,4,blue
111,17,195,3,violet
218,211,225,6,white
244,217,239,6,white
36,74,212,4,blue
5,165,25,5,green
36,32,14,7,black
219,226,248,6,white
34,70,185,4,blue
21,162,39,5,green
26,37,35,7,black
108,16,208,3,violet
255,245,23,0,yellow
0,75,213,4,blue
228,219,21,0,yellow
241,237,242,6,white
215,235,233,6,white
220,241,217,6,white
138,27,184,3,violet
224,223,0,0,yellow
16,38,220,4,blue
208,94,38,1,orange
243,244,226,6,white
207,39,8,2,red
220,10,13,2,red
30,38,5,7,black
255,204,17,0,yellow
225,238,223,6,white
247,234,250,6,white
11,16,5,7,black
120,38,219,3,violet
149,0,225,3,violet
126,10,188,3,violet
132,16,198,3,violet
233,223,39,0,yellow
131,0,208,3,violet
115,42,209,3,violet
243,222,234,6,white
225,220,250,6,white
194,19,31,2,red
230,111,0,1,orange
145,8,212,3,violet
24,15,8,7,black
224,208,43,0,yellow
27,10,38,7,black
245,225,10,0,yellow
31,68,207,4,blue
199,17,8,2,red
207,12,0,2,red
217,217,8,0,yellow
0,69,194,4,blue
233,228,212,6,white
152,0,220,3,violet
193,0,19,2,red
234,4,37,2,red
120,20,206,3,violet
117,20,177,3,violet
245,231,250,6,white
21,6,14,7,black
249,234,227,6,white
207,8,5,2,red
230,103,31,1,orange
24,11,21,7,black
255,201,19,0,yellow
221,23,20,2,red
44,162,39,5,green
0,79,200,4,blue
249,241,10,0,yellow
222,98,38,1,orange
227,115,0,1,orange
250,201,0,0,yellow
238,222,210,6,white
26,71,187,4,blue
220,250,247,6,white
20,18,34,7,black
222,237,0,0,yellow
18,6,21,7,black
229,125,6,1,orange
244,239,18,0,yellow
35,197,30,5,green
151,42,195,3,violet
12,5,15,7,black
34,187,33,5,green
221,97,0,1,orange
113,18,206,3,violet
255,236,30,0,yellow
253,115,39,1,orange
229,7,25,2,red
28,5,7,7,black
227,239,225,6,white
19,81,214,4,blue
229,134,12,1,orange
136,42,212,3,violet
8,191,48,5,green
34,85,195,4,blue
42,193,55,5,green
221,98,5,1,orange
0,47,213,4,blue
206,40,36,2,red
200,17,34,2,red
255,210,31,0,yellow
248,85,20,1,orange
219,238,10,0,yellow
22,172,34,5,green
152,17,190,3,violet
136,18,177,3,violet
4,194,25,5,green
221,3,36,2,red
223,106,25,1,orange
194,32,18,2,red
247,91,31,1,orange
220,117,40,1,orange
236,121,28,1,orange
207,30,9,2,red
229,32,0,2,red
231,222,229,6,white
0,199,13,5,green
38,14,30,7,black
192,27,20,2,red
245,224,224,6,white
29,24,26,7,black
10,72,193,4,blue
2,160,16,5,green
16,3,2,7,black
225,11,14,2,red
207,108,5,1,orange
38,37,14,7,black
9,33,35,7,black
35,180,25,5,green
211,223,237,6,white
24,46,209,4,blue
111,30,177,3,violet
239,107,30,1,orange
235,35,0,2,red
120,3,177,3,violet
13,7,12,7,black
3,59,196,4,blue
255,236,16,0,yellow
219,127,27,1,orange
35,73,227,4,blue
239,87,40,1,orange
123,41,202,3,violet
15,67,212,4,blue
25,24,35,7,black
147,29,190,3,violet
9,30,21,7,black
138,16,211,3,violet
136,7,180,3,violet
229,0,2,2,red
24,197,10,5,green
240,134,29,1,orange
234,220,232,6,white
23,16,33,7,black
245,213,29,0,yellow
149,14,203,3,violet
20,44,225,4,blue
29,37,27,7,black
0,41,190,4,blue
20,15,4,7,black
36,77,222,4,blue
12,37,22,7,black
41,167,20,5,green
142,26,215,3,violet
234,197,9,0,yellow
235,0,33,2,red
222,135,15,1,orange
22,12,12,7,black
33,9,11,7,black
190,38,38,2,red
9,6,22,7,black
228,101,27,1,orange
1,162,53,5,green
29,67,197,4,blue
30,204,40,5,green
6,13,6,7,black
211,37,0,2,red
38,178,11,5,green
153,0,208,3,violet
10,175,41,5,green
189,8,20,2,red
226,221,6,0,yellow
253,202,45,0,yellow
29,76,210,4,blue
210,214,222,6,white
252,123,2,1,orange
36,161,41,5,green
229,118,9,1,orange
234,30,22,2,red
10,59,205,4,blue
218,0,10,2,red
223,216,221,6,white
0,48,208,4,blue
11,30,25,7,black
22,51,222,4,blue
40,53,206,4,blue
186,39,20,2,red
0,186,6,5,green
123,43,176,3,violet
242,91,0,1,orange
26,80,217,4,blue
15,179,53,5,green
247,94,37,1,orange
138,7,223,3,violet
20,36,217,4,blue
242,232,221,6,white
27,38,8,7,black
155,30,202,3,violet
255,208,35,0,yellow
186,19,19,2,red
224,212,236,6,white
209,27,32,2,red
34,62,220,4,blue
0,191,8,5,green
244,245,230,6,white
12,24,38,7,black
251,92,39,1,orange
252,201,23,0,yellow
137,41,183,3,violet
28,55,222,4,blue
222,38,14,2,red
200,25,0,2,red
20,171,14,5,green
23,68,200,4,blue
16,38,19,7,black
223,210,45,0,yellow
240,227,246,6,white
151,26,180,3,violet
222,230,43,0,yellow
11,23,34,7,black
9,68,205,4,blue
250,110,37,1,orange
232,131,15,1,orange
7,203,41,5,green
9,175,24,5,green
221,222,223,6,white
205,34,31,2,red
235,236,0,0,yellow
248,216,240,6,white
210,14,17,2,red
39,79,200,4,blue
39,198,24,5,green
201,13,1,2,red
134,34,188,3,violet
232,126,27,1,orange
8,45,189,4,blue
241,219,44,0,yellow
0,69,198,4,blue
212,249,210,6,white
38,56,201,4,blue
20,32,2,7,black
254,241,33,0,yellow
2,37,31,7,black
235,205,34,0,yellow
232,114,4,1,orange
208,14,0,2,red
218,225,213,6,white
227,134,27,1,orange
242,245,221,6,white
9,40,204,4,blue
30,68,216,4,blue
13,56,211,4,blue
232,205,11,0,yellow
229,201,17,0,yellow
227,112,10,1,orange
121,41,186,3,violet
0,163,38,5,green
221,244,224,6,white
2,176,10,5,green
127,0,202,3,violet
221,238,248,6,white
244,215,43,0,yellow
30,21,22,7,black
15,39,226,4,blue
210,245,240,6,white
136,41,201,3,violet
216,131,0,1,orange
215,212,220,6,white
211,245,240,6,white
35,157,41,5,green
210,234,244,6,white
29,76,188,4,blue
230,30,0,2,red
231,86,4,1,orange
255,241,42,0,yellow
227,207,29,0,yellow
154,20,191,3,violet
234,213,220,6,white
235,3,40,2,red
36,203,31,5,green
119,0,215,3,violet
233,40,31,2,red
11,13,13,7,black
109,3,191,3,violet
236,135,11,1,orange
25,156,22,5,green
231,126,0,1,orange
36,189,50,5,green
238,216,226,6,white
10,13,5,7,black
32,15,6,7,black
255,228,36,0,yellow
19,204,41,5,green
33,30,23,7,black
25,15,5,7,black
4,26,16,7,black
121,14,222,3,violet
230,201,39,0,yellow
6,172,52,5,green
1,184,16,5,green
140,12,202,3,violet
234,124,1,1,orange
129,31,185,3,violet
241,245,239,6,white
188,23,9,2,red
252,211,0,0,yellow
20,43,202,4,blue
246,202,0,0,yellow
199,33,0,2,red
246,238,211,6,white
226,5,0,2,red
19,15,10,7,black
187,8,17,2,red
29,38,219,4,blue
237,104,34,1,orange
21,16,30,7,black
39,49,213,4,blue
225,215,31,0,yellow
6,4,20,7,black
4,8,2,7,black
234,244,13,0,yellow
225,228,35,0,yellow
243,197,41,0,yellow
224,235,243,6,white
146,18,196,3,violet
149,20,203,3,violet
0,65,207,4,blue
11,29,11,7,black
9,29,31,7,black
233,235,213,6,white
235,26,6,2,red
234,2,0,2,red
226,124,14,1,orange
215,25,0,2,red
4,193,28,5,green
211,111,27,1,orange
44,157,47,5,green
133,19,207,3,violet
234,32,37,2,red
132,21,192,3,violet
125,19,191,3,violet
17,38,8,7,black
255,245,16,0,yellow
13,26,22,7,black
17,67,232,4,blue
255,226,4,0,yellow
21,19,32,7,black
41,177,52,5,green
2,199,53,5,green
223,201,20,0,yellow
247,235,222,6,white
223,211,41,0,yellow
2,158,50,5,green
226,12,0,2,red
239,210,223,6,white
12,156,36,5,green
15,155,41,5,green
213,24,0,2,red
37,174,26,5,green
0,199,48,5,green
189,26,36,2,red
29,178,39,5,green
217,241,239,6,white
248,243,210,6,white
255,93,5,1,orange
220,221,246,6,white
253,95,21,1,orange
120,40,203,3,violet
248,239,243,6,white
44,175,39,5,green
137,1,195,3,violet
215,210,219,6,white
220,18,19,2,red
31,40,189,4,blue
38,83,203,4,blue
194,0,6,2,red
233,122,17,1,orange
123,4,188,3,violet
223,222,238,6,white
254,221,10,0,yellow
240,249,227,6,white
7,28,23,7,black
0,164,20,5,green
0,66,186,4,blue
153,22,190,3,violet
111,45,201,3,violet
0,48,220,4,blue
236,99,0,1,orange
217,225,229,6,white
35,8,16,7,black
13,203,40,5,green
0,45,215,4,blue
3,164,11,5,green
155,17,224,3,violet
30,59,189,4,blue
9,24,28,7,black
217,35,20,2,red
219,131,0,1,orange
19,10,17,7,black
212,11,37,2,red
10,14,11,7,black
222,221,216,6,white
224,237,25,0,yellow
107,3,211,3,violet
227,245,232,6,white
135,36,219,3,violet
251,210,40,0,yellow
29,193,7,5,green
0,205,17,5,green
5,13,38,7,black
112,37,209,3,violet
29,40,220,4,blue
124,13,217,3,violet
15,39,187,4,blue
135,40,225,3,violet
0,183,9,5,green
212,91,38,1,orange
143,0,216,3,violet
37,83,224,4,blue
255,230,8,0,yellow
251,238,44,0,yellow
233,200,11,0,yellow
207,25,10,2,red
38,36,206,4,blue
21,31,20,7,black
13,74,212,4,blue
114,9,192,3,violet
29,42,212,4,blue
29,42,212,4,blue
191,0,6,2,red
152,37,208,3,violet
24,161,39,5,green
13,26,2,7,black
112,3,200,3,violet
233,3,0,2,red
38,9,15,7,black
118,10,207,3,violet
23,197,10,5,green
137,28,182,3,violet
19,166,10,5,green
3,11,24,7,black
229,34,13,2,red
206,97,23,1,orange
8,52,216,4,blue
0,204,48,5,green
255,233,0,0,yellow
238,111,13,1,orange
227,235,30,0,yellow
42,167,51,5,green
15,6,37,7,black
12,12,10,7,black
222,116,0,1,orange
255,229,0,0,yellow
10,74,191,4,blue
238,125,7,1,orange
19,13,29,7,black
36,2,8,7,black
3,81,216,4,blue
228,218,229,6,white
105,29,204,3,violet
212,135,0,1,orange
4,76,207,4,blue
7,160,24,5,green
213,214,227,6,white
34,181,15,5,green
155,7,187,3,violet
233,96,0,1,orange
242,235,26,0,yellow
34,5,8,7,black
227,200,10,0,yellow
32,12,8,7,black
11,190,38,5,green
194,0,0,2,red
132,0,200,3,violet
216,221,224,6,white
12,48,197,4,blue
0,194,53,5,green
0,175,44,5,green
223,1,35,2,red
220,0,0,2,red
237,101,0,1,orange
215,218,230,6,white
239,128,1,1,orange
224,231,37,0,yellow
226,35,40,2,red
3,27,38,7,black
231,247,225,6,white
249,222,225,6,white
0,54,202,4,blue
241,249,217,6,white
3,57,225,4,blue
214,26,0,2,red
215,13,8,2,red
234,91,0,1,orange
223,113,1,1,orange
13,21,12,7,black
229,32,17,2,red
225,123,4,1,orange
228,211,242,6,white
0,36,199,4,blue
250,91,0,1,orange
196,31,25,2,red
247,214,224,6,white
20,21,18,7,black
215,223,247,6,white
236,238,2,0,yellow
225,240,211,6,white
226,2,1,2,red
127,23,189,3,violet
253,238,45,0,yellow
2,6,16,7,black
135,36,207,3,violet
19,47,191,4,blue
234,117,22,1,orange
227,3,7,2,red
230,222,32,0,yellow
5,167,53,5,green
32,158,33,5,green
225,124,4,1,orange
0,55,229,4,blue
37,29,7,7,black
0,35,222,4,blue
197,25,14,2,red
187,0,1,2,red
42,172,46,5,green
24,10,8,7,black
2,201,15,5,green
255,206,45,0,yellow
234,247,249,6,white
32,42,227,4,blue
224,237,245,6,white
222,226,218,6,white
0,42,211,4,blue
0,192,32,5,green
7,40,200,4,blue
121,35,207,3,violet
235,3,38,2,red
144,45,214,3,violet
244,218,37,0,yellow
210,114,18,1,orange
186,0,0,2,red
203,23,30,2,red
152,35,211,3,violet
192,12,20,2,red
7,64,225,4,blue
146,19,192,3,violet
205,129,26,1,orange
240,217,44,0,yellow
211,27,11,2,red
10,169,49,5,green
205,0,0,2,red
25,28,27,7,black
236,97,28,1,orange
7,34,11,7,black
33,178,20,5,green
7,6,14,7,black
229,113,30,1,orange
5,158,46,5,green
253,204,43,0,yellow
141,13,210,3,violet
27,12,11,7,black
13,2,3,7,black
239,243,232,6,white
220,105,14,1,orange
37,66,193,4,blue
247,244,221,6,white
17,159,19,5,green
239,117,38,1,orange
16,49,221,4,blue
239,247,245,6,white
37,5,3,7,black
217,244,213,6,white
17,2,31,7,black
234,17,3,2,red
219,221,21,0,yellow
28,44,191,4,blue
207,16,0,2,red
233,231,244,6,white
129,1,195,3,violet
243,85,4,1,orange
255,205,0,0,yellow
254,119,29,1,orange
137,30,194,3,violet
252,130,0,1,orange
232,96,21,1,orange
32,186,19,5,green
243,244,215,6,white
194,30,19,2,red
220,224,212,6,white
145,22,179,3,violet
218,114,9,1,orange
121,33,204,3,violet
0,49,192,4,blue
29,159,6,5,green
229,0,12,2,red
13,73,234,4,blue
117,0,215,3,violet
112,33,201,3,violet
116,15,220,3,violet
249,124,0,1,orange
36,28,35,7,black
143,23,222,3,violet
112,4,183,3,violet
237,128,16,1,orange
29,15,19,7,black
9,54,217,4,blue
138,41,194,3,violet
134,17,219,3,violet
242,248,244,6,white
243,247,247,6,white
202,0,0,2,red
189,13,12,2,red
220,230,233,6,white
37,23,32,7,black
105,28,212,3,violet
233,39,8,2,red
217,247,218,6,white
0,66,220,4,blue
4,41,227,4,blue
36,198,40,5,green
7,34,38,7,black
24,41,225,4,blue
33,29,18,7,black
234,85,40,1,orange
2,23,35,7,black
15,202,8,5,green
36,181,31,5,green
35,13,2,7,black
0,174,5,5,green
131,2,206,3,violet
35,157,48,5,green
226,229,13,0,yellow
248,89,1,1,orange
232,102,25,1,orange
235,15,0,2,red
222,17,40,2,red
11,48,214,4,blue
13,22,9,7,black
20,62,206,4,blue
123,36,185,3,violet
250,126,13,1,orange
209,133,37,1,orange
237,250,241,6,white
232,129,15,1,orange
147,42,211,3,violet
115,4,207,3,violet
27,14,8,7,black
4,30,20,7,black
196,25,15,2,red
247,245,27,0,yellow
31,179,52,5,green
220,220,27,0,yellow
223,241,237,6,white
205,106,29,1,orange
0,69,233,4,blue
203,12,12,2,red
233,92,0,1,orange
4,26,19,7,black
125,10,178,3,violet
223,248,248,6,white
0,155,25,5,green
231,36,23,2,red
150,14,195,3,violet
236,247,228,6,white
17,158,35,5,green
230,204,1,0,yellow
150,23,192,3,violet
18,16,14,7,black
231,135,11,1,orange
236,225,229,6,white
30,30,19,7,black
0,180,29,5,green
227,243,229,6,white
215,21,1,2,red
37,30,7,7,black
32,195,44,5,green
22,19,7,7,black
188,0,17,2,red
252,216,27,0,yellow
225,232,32,0,yellow
243,221,250,6,white
217,28,20,2,red
27,73,224,4,blue
229,217,28,0,yellow
150,28,179,3,violet
239,234,38,0,yellow
14,9,29,7,black
7,16,20,7,black
21,16,15,7,black
138,45,218,3,violet
216,215,228,6,white
14,52,229,4,blue
224,13,33,2,red
129,30,213,3,violet
4,71,217,4,blue
221,37,27,2,red
255,208,22,0,yellow
20,68,231,4,blue
237,245,219,6,white
37,14,29,7,black
28,34,27,7,black
198,23,30,2,red
224,213,22,0,yellow
40,161,35,5,green
198,0,27,2,red
25,12,21,7,black
255,226,15,0,yellow
37,186,49,5,green
241,237,32,0,yellow
248,241,227,6,white
105,4,224,3,violet
218,225,20,0,yellow
14,14,20,7,black
1,44,215,4,blue
0,173,20,5,green
148,5,178,3,violet
216,223,221,6,white
234,246,232,6,white
125,32,176,3,violet
14,9,14,7,black
217,122,24,1,orange
38,29,13,7,black
233,96,29,1,orange
232,213,237,6,white
255,206,25,0,yellow
249,243,41,0,yellow
220,222,1,0,yellow
226,221,245,6,white
204,26,40,2,red
28,17,2,7,black
20,20,12,7,black
237,132,23,1,orange
230,243,24,0,yellow
209,122,26,1,orange
239,207,33,0,yellow
2,196,31,5,green
149,1,221,3,violet
33,189,17,5,green
131,40,204,3,violet
39,183,26,5,green
226,203,19,0,yellow
239,249,213,6,white
254,133,0,1,orange
35,13,12,7,black
235,244,219,6,white
30,11,28,7,black
209,99,14,1,orange
6,187,5,5,green
243,223,250,6,white
20,8,31,7,black
227,231,218,6,white
4,19,38,7,black
36,25,23,7,black
204,0,37,2,red
250,127,15,1,orange
191,24,27,2,red
24,69,197,4,blue
0,195,12,5,green
229,216,235,6,white
247,104,21,1,orange
9,33,14,7,black
24,15,3,7,black
7,168,47,5,green
232,235,45,0,yellow
24,29,32,7,black
17,49,191,4,blue
38,200,43,5,green
219,127,11,1,orange
224,235,5,0,yellow
225,196,4,0,yellow
0,178,18,5,green
8,62,222,4,blue
238,210,19,0,yellow
3,201,24,5,green
10,188,5,5,green
110,35,180,3,violet
200,5,31,2,red
133,15,175,3,violet
23,16,21,7,black
247,228,249,6,white
37,166,14,5,green
24,178,51,5,green
127,7,187,3,violet
219,125,35,1,orange
150,3,195,3,violet
12,18,36,7,black
3,9,15,7,black
20,38,31,7,black
33,3,27,7,black
233,6,0,2,red
30,37,33,7,black
209,133,21,1,orange
237,224,220,6,white
132,21,198,3,violet
247,248,234,6,white
34,159,14,5,green
240,216,238,6,white
217,239,18,0,yellow
23,68,222,4,blue
214,88,32,1,orange
15,12,11,7,black
13,155,39,5,green
200,34,31,2,red
247,128,31,1,orange
198,25,35,2,red
35,198,39,5,green
13,6,18,7,black
246,213,37,0,yellow
218,87,25,1,orange
216,5,3,2,red
255,221,26,0,yellow
219,0,28,2,red
149,40,206,3,violet
128,29,185,3,violet
210,214,220,6,white
35,194,36,5,green
255,221,16,0,yellow
193,0,1,2,red
242,227,18,0,yellow
32,173,43,5,green
196,14,21,2,red
9,28,33,7,black
215,111,24,1,orange
0,176,10,5,green
20,205,15,5,green
219,249,246,6,white
255,214,33,0,yellow
37,171,32,5,green
233,225,25,0,yellow
19,185,15,5,green
255,230,35,0,yellow
34,188,52,5,green
224,204,31,0,yellow
240,237,1,0,yellow
241,107,39,1,orange
152,36,175,3,violet
21,35,18,7,black
17,57,193,4,blue
232,230,3,0,yellow
236,215,29,0,yellow
243,238,8,0,yellow
236,213,225,6,white
151,9,219,3,violet
5,180,45,5,green
26,73,211,4,blue
192,6,0,2,red
247,225,45,0,yellow
6,61,204,4,blue
30,23,24,7,black
255,238,12,0,yellow
17,41,230,4,blue
123,0,183,3,violet
214,7,0,2,red
208,4,28,2,red
237,223,212,6,white
235,210,0,0,yellow
215,88,15,1,orange
245,126,0,1,orange
215,14,0,2,red
0,71,226,4,blue
246,128,0,1,orange
27,24,36,7,black
218,213,214,6,white
121,1,213,3,violet
252,215,0,0,yellow
14,190,22,5,green
223,243,18,0,yellow
30,32,34,7,black
0,167,42,5,green
0,49,231,4,blue
19,80,235,4,blue
30,167,36,5,green
200,22,7,2,red
108,5,195,3,violet
221,18,2,2,red
33,173,14,5,green
212,34,38,2,red
238,96,25,1,orange
217,235,247,6,white
29,24,13,7,black
10,6,21,7,black
235,244,31,0,yellow
36,56,233,4,blue
0,79,213,4,blue
25,53,226,4,blue
222,126,0,1,orange
248,130,0,1,orange
215,26,17,2,red
253,100,0,1,orange
233,239,3,0,yellow
13,68,197,4,blue
17,161,48,5,green
231,30,0,2,red
248,106,31,1,orange
22,18,28,7,black
224,104,7,1,orange
27,13,2,7,black
242,110,24,1,orange
235,216,43,0,yellow
2,34,5,7,black
0,166,13,5,green
154,0,190,3,violet
11,164,39,5,green
210,112,0,1,orange
221,238,42,0,yellow
213,32,0,2,red
245,242,41,0,yellow
26,85,215,4,blue
155,0,197,3,violet
219,244,221,6,white
8,81,185,4,blue
235,222,15,0,yellow
252,99,18,1,orange
27,185,37,5,green
190,28,28,2,red
35,9,35,7,black
211,101,4,1,orange
209,8,25,2,red
130,16,202,3,violet
210,131,0,1,orange
110,34,217,3,violet
219,119,8,1,orange
225,249,220,6,white
107,43,214,3,violet
232,203,35,0,yellow
229,0,9,2,red
212,32,24,2,red
40,61,199,4,blue
236,217,219,6,white
254,92,23,1,orange
29,79,233,4,blue
40,204,16,5,green
23,14,36,7,black
241,209,23,0,yellow
235,249,228,6,white
196,0,0,2,red
36,16,10,7,black
43,175,11,5,green
13,52,227,4,blue
229,227,236,6,white
38,193,48,5,green
234,226,0,0,yellow
6,4,18,7,black
249,216,0,0,yellow
195,19,15,2,red
0,67,206,4,blue
6,35,26,7,black
144,7,180,3,violet
31,165,11,5,green
155,21,216,3,violet
6,161,24,5,green
250,121,2,1,orange
218,127,30,1,orange
228,244,239,6,white
238,129,4,1,orange
211,220,215,6,white
225,40,9,2,red
11,189,20,5,green
114,44,175,3,violet
211,5,29,2,red
240,110,25,1,orange
228,89,13,1,orange
219,0,10,2,red
229,1,10,2,red
120,25,177,3,violet
214,105,35,1,orange
233,19,0,2,red
111,8,208,3,violet
105,20,182,3,violet
40,62,215,4,blue
228,222,233,6,white
153,0,211,3,violet
15,9,3,7,black
17,166,50,5,green
244,238,227,6,white
215,201,22,0,yellow
235,88,30,1,orange
255,201,26,0,yellow
111,40,178,3,violet
214,7,28,2,red
6,76,221,4,blue
249,217,215,6,white
225,250,244,6,white
239,215,35,0,yellow
247,237,35,0,yellow
113,0,203,3,violet
224,95,32,1,orange
224,213,227,6,white
108,33,175,3,violet
19,38,35,7,black
8,85,217,4,blue
139,0,217,3,violet
228,103,3,1,orange
214,214,219,6,white
149,43,190,3,violet
235,106,5,1,orange
223,238,237,6,white
221,130,26,1,orange
210,110,13,1,orange
241,229,42,0,yellow
220,246,244,6,white
131,10,186,3,violet
2,33,7,7,black
222,111,9,1,orange
246,235,29,0,yellow
255,207,15,0,yellow
234,17,34,2,red
211,242,250,6,white
35,38,37,7,black
210,113,0,1,orange
33,26,19,7,black
238,134,37,1,orange
10,188,36,5,green
7,163,25,5,green
15,15,32,7,black
14,84,209,4,blue
210,220,226,6,white
235,119,40,1,orange
237,229,22,0,yellow
3,18,12,7,black
215,85,10,1,orange
136,24,179,3,violet
207,129,23,1,orange
23,202,14,5,green
255,205,29,0,yellow
117,13,211,3,violet
205,6,0,2,red
211,121,39,1,orange
210,120,8,1,orange
216,117,24,1,orange
129,26,194,3,violet
25,7,29,7,black
233,17,25,2,red
208,97,7,1,orange
11,16,36,7,black
19,78,194,4,blue
25,171,37,5,green
154,39,201,3,violet
255,218,0,0,yellow
32,188,15,5,green
190,0,35,2,red
198,33,10,2,red
207,4,36,2,red
246,224,230,6,white
23,193,46,5,green
185,38,0,2,red
0,166,28,5,green
255,245,10,0,yellow
255,204,21,0,yellow
142,0,204,3,violet
25,29,13,7,black
105,0,205,3,violet
29,11,32,7,black
6,70,219,4,blue
134,4,213,3,violet
142,26,181,3,violet
